Round 31: test_acc=0.561070788205, bytes=160.70896000 MB, time=8507.48829130s, delta_acc/byte=1.842502721247e-11, delta_acc/sec=0.000000348054,acc/byte=3.491222817973e-09, acc/sec=0.000065950227, 
Round 32: test_acc=0.561769440770, bytes=165.89312000 MB, time=8824.90266740s, delta_acc/byte=4.211461967074e-12, delta_acc/sec=0.000000079168,acc/byte=3.386333566878e-09, acc/sec=0.000063657296, 
Round 33: test_acc=0.566175151169, bytes=171.07728000 MB, time=9008.96032520s, delta_acc/byte=2.575274986340e-11, delta_acc/sec=0.000000489036,acc/byte=3.309470148048e-09, acc/sec=0.000062845781, 
Round 34: test_acc=0.570844454467, bytes=176.26144000 MB, time=9308.81482290s, delta_acc/byte=2.649078152315e-11, delta_acc/sec=0.000000501600,acc/byte=3.238623572276e-09, acc/sec=0.000061323000, 
Round 35: test_acc=0.575734780133, bytes=181.44560000 MB, time=9576.50267010s, delta_acc/byte=2.695202124204e-11, delta_acc/sec=0.000000510659,acc/byte=3.173043491453e-09, acc/sec=0.000060119524, 
Round 36: test_acc=0.574837581813, bytes=186.62976000 MB, time=9897.09562340s, delta_acc/byte=-4.807370054139e-12, delta_acc/sec=-0.000000090653,acc/byte=3.080096024414e-09, acc/sec=0.000058081442, 
Round 37: test_acc=0.577733077705, bytes=191.81392000 MB, time=9997.70647820s, delta_acc/byte=1.509533766669e-11, delta_acc/sec=0.000000289616,acc/byte=3.011945523583e-09, acc/sec=0.000057786561, 
Round 38: test_acc=0.581136217117, bytes=196.99808000 MB, time=10101.23820190s, delta_acc/byte=1.727498771766e-11, delta_acc/sec=0.000000336903,acc/byte=2.949958786996e-09, acc/sec=0.000057531186, 
Round 39: test_acc=0.584326559305, bytes=202.18224000 MB, time=10354.55641320s, delta_acc/byte=1.577953725254e-11, delta_acc/sec=0.000000308110,acc/byte=2.890098355351e-09, acc/sec=0.000056431829, 
Round 40: test_acc=0.586412268877, bytes=207.36640000 MB, time=10568.78088010s, delta_acc/byte=1.005808834912e-11, delta_acc/sec=0.000000197346,acc/byte=2.827903984816e-09, acc/sec=0.000055485328, 
Round 41: test_acc=0.589357557893, bytes=212.55056000 MB, time=10721.58018510s, delta_acc/byte=1.385688664274e-11, delta_acc/sec=0.000000274707,acc/byte=2.772787603537e-09, acc/sec=0.000054969281, 
Round 42: test_acc=0.591293165982, bytes=217.73472000 MB, time=10951.03692870s, delta_acc/byte=8.889753958257e-12, delta_acc/sec=0.000000176751,acc/byte=2.715658605030e-09, acc/sec=0.000053994263, 
Round 43: test_acc=0.593240280151, bytes=222.91888000 MB, time=11087.74056380s, delta_acc/byte=8.734631044251e-12, delta_acc/sec=0.000000175610,acc/byte=2.661238384794e-09, acc/sec=0.000053504163, 
Round 44: test_acc=0.593780610561, bytes=228.10304000 MB, time=11309.88872510s, delta_acc/byte=2.368799688087e-12, delta_acc/sec=0.000000047775,acc/byte=2.603124493919e-09, acc/sec=0.000052501013, 
Round 45: test_acc=0.595124744177, bytes=233.28720000 MB, time=11555.78972300s, delta_acc/byte=5.761711810566e-12, delta_acc/sec=0.000000116317,acc/byte=2.551038994754e-09, acc/sec=0.000051500136, 
Round 46: test_acc=0.598375845551, bytes=238.47136000 MB, time=11734.08641540s, delta_acc/byte=1.363308941848e-11, delta_acc/sec=0.000000277065,acc/byte=2.509214714721e-09, acc/sec=0.000050994668, 
Round 47: test_acc=0.602452453673, bytes=243.65552000 MB, time=11874.36209220s, delta_acc/byte=1.673103125837e-11, delta_acc/sec=0.000000343312,acc/byte=2.472558198857e-09, acc/sec=0.000050735564, 
Round 48: test_acc=0.603184327781, bytes=248.83968000 MB, time=12022.26266910s, delta_acc/byte=2.941147120566e-12, delta_acc/sec=0.000000060877,acc/byte=2.423987716835e-09, acc/sec=0.000050172280, 
Round 49: test_acc=0.604305402339, bytes=254.02384000 MB, time=12183.50005860s, delta_acc/byte=4.413265138045e-12, delta_acc/sec=0.000000092016,acc/byte=2.378931844895e-09, acc/sec=0.000049600312, 
Round 50: test_acc=0.606645267308, bytes=259.20800000 MB, time=12335.57289440s, delta_acc/byte=9.026978215385e-12, delta_acc/sec=0.000000189684,acc/byte=2.340380186212e-09, acc/sec=0.000049178524, 
Round 51: test_acc=0.610233684778, bytes=264.39216000 MB, time=12496.99206410s, delta_acc/byte=1.357232934008e-11, delta_acc/sec=0.000000287142,acc/byte=2.308062707980e-09, acc/sec=0.000048830445, 
Round 52: test_acc=0.612193024755, bytes=269.57632000 MB, time=12765.81691780s, delta_acc/byte=7.268219910082e-12, delta_acc/sec=0.000000153483,acc/byte=2.270945106583e-09, acc/sec=0.000047955648, 
Round 53: test_acc=0.612379281223, bytes=274.76048000 MB, time=12900.69135930s, delta_acc/byte=6.778866753183e-13, delta_acc/sec=0.000000014438,acc/byte=2.228774972379e-09, acc/sec=0.000047468718, 
