Round 1: test_acc=0.059146698872, bytes=2.11880000 MB, time=130.12757490s, delta_acc/byte=2.791518730962e-08, delta_acc/sec=0.000454528557,acc/byte=2.791518730962e-08, acc/sec=0.000454528557, 
Round 2: test_acc=0.093675882276, bytes=4.23760000 MB, time=262.90110760s, delta_acc/byte=8.148287569502e-09, delta_acc/sec=0.000131339056,acc/byte=2.210588122431e-08, acc/sec=0.000356316043, 
Round 3: test_acc=0.103790075649, bytes=6.35640000 MB, time=366.14853620s, delta_acc/byte=1.591182646219e-09, delta_acc/sec=0.000027623198,acc/byte=1.632843679576e-08, acc/sec=0.000283464401, 
Round 4: test_acc=0.133478392698, bytes=8.47520000 MB, time=521.18834450s, delta_acc/byte=3.502963593696e-09, delta_acc/sec=0.000056962742,acc/byte=1.574929119052e-08, acc/sec=0.000256103948, 
Round 5: test_acc=0.150462981649, bytes=10.59400000 MB, time=590.05848940s, delta_acc/byte=1.603227199440e-09, delta_acc/sec=0.000028784585,acc/byte=1.420266015185e-08, acc/sec=0.000254996724, 
Round 6: test_acc=0.178438263126, bytes=12.71280000 MB, time=783.97922410s, delta_acc/byte=2.200560181626e-09, delta_acc/sec=0.000035683703,acc/byte=1.403611030817e-08, acc/sec=0.000227605857, 
Round 7: test_acc=0.197128567286, bytes=14.83160000 MB, time=938.82741830s, delta_acc/byte=1.260167760735e-09, delta_acc/sec=0.000019908136,acc/byte=1.329111945345e-08, acc/sec=0.000209973168, 
Round 8: test_acc=0.224914369360, bytes=16.95040000 MB, time=1146.74329820s, delta_acc/byte=1.639241674166e-09, delta_acc/sec=0.000024230185,acc/byte=1.326897119594e-08, acc/sec=0.000196133145, 
Round 9: test_acc=0.237213850617, bytes=19.06920000 MB, time=1221.83672480s, delta_acc/byte=6.449919901095e-10, delta_acc/sec=0.000010066387,acc/byte=1.243963305316e-08, acc/sec=0.000194145294, 
Round 10: test_acc=0.242058497742, bytes=21.18800000 MB, time=1324.48386330s, delta_acc/byte=2.286505155942e-10, delta_acc/sec=0.000003657762,acc/byte=1.142432026344e-08, acc/sec=0.000182756849, 
Round 11: test_acc=0.248819198459, bytes=23.30680000 MB, time=1352.34283350s, delta_acc/byte=2.900741722402e-10, delta_acc/sec=0.000004999251,acc/byte=1.067581986628e-08, acc/sec=0.000183991213, 
Round 12: test_acc=0.255274183527, bytes=25.42560000 MB, time=1460.69006780s, delta_acc/byte=2.538773939356e-10, delta_acc/sec=0.000004419134,acc/byte=1.004004560469e-08, acc/sec=0.000174762730, 
Round 13: test_acc=0.264543880224, bytes=27.54440000 MB, time=1507.51880870s, delta_acc/byte=3.365365263935e-10, delta_acc/sec=0.000006148976,acc/byte=9.604270930724e-09, acc/sec=0.000175482972, 
Round 14: test_acc=0.269630833045, bytes=29.66320000 MB, time=1562.64330760s, delta_acc/byte=1.714903591123e-10, delta_acc/sec=0.000003255351,acc/byte=9.089741937642e-09, acc/sec=0.000172547908, 
Round 15: test_acc=0.284510242566, bytes=31.78200000 MB, time=1691.68481380s, delta_acc/byte=4.681709622371e-10, delta_acc/sec=0.000008795616,acc/byte=8.951930104036e-09, acc/sec=0.000168181590, 
Round 16: test_acc=0.294075618535, bytes=33.90080000 MB, time=1756.96966050s, delta_acc/byte=2.821578242641e-10, delta_acc/sec=0.000005444247,acc/byte=8.674592296798e-09, acc/sec=0.000167376606, 
Round 17: test_acc=0.295583027303, bytes=36.01960000 MB, time=1787.48428840s, delta_acc/byte=4.184968094978e-11, delta_acc/sec=0.000000843313,acc/byte=8.206171842642e-09, acc/sec=0.000165362588, 
Round 18: test_acc=0.299716356993, bytes=38.13840000 MB, time=1857.85201410s, delta_acc/byte=1.083771130803e-10, delta_acc/sec=0.000002224790,acc/byte=7.858650520020e-09, acc/sec=0.000161324128, 
Round 19: test_acc=0.311543021649, bytes=40.25720000 MB, time=1935.24918070s, delta_acc/byte=2.937776262731e-10, delta_acc/sec=0.000006111184,acc/byte=7.738814961029e-09, acc/sec=0.000160983415, 
Round 20: test_acc=0.318281603307, bytes=42.37600000 MB, time=2034.61522310s, delta_acc/byte=1.590188233295e-10, delta_acc/sec=0.000003311969,acc/byte=7.510893036307e-09, acc/sec=0.000156433315, 
Round 21: test_acc=0.317782235444, bytes=44.49480000 MB, time=2063.11892760s, delta_acc/byte=-1.122306118782e-11, delta_acc/sec=-0.000000242045,acc/byte=7.142008401961e-09, acc/sec=0.000154030013, 
Round 22: test_acc=0.331104419380, bytes=46.61360000 MB, time=2217.86595320s, delta_acc/byte=2.858003659197e-10, delta_acc/sec=0.000006006758,acc/byte=7.103172022337e-09, acc/sec=0.000149289644, 
Round 23: test_acc=0.334361026809, bytes=48.73240000 MB, time=2295.03199730s, delta_acc/byte=6.682632967375e-11, delta_acc/sec=0.000001418981,acc/byte=6.861164785823e-09, acc/sec=0.000145689048, 
Round 24: test_acc=0.348013217002, bytes=50.85120000 MB, time=2357.32308540s, delta_acc/byte=2.684733141702e-10, delta_acc/sec=0.000005791395,acc/byte=6.843756233917e-09, acc/sec=0.000147630683, 
Round 25: test_acc=0.356810475737, bytes=52.97000000 MB, time=2449.98694280s, delta_acc/byte=1.660800214216e-10, delta_acc/sec=0.000003590737,acc/byte=6.736086005982e-09, acc/sec=0.000145637705, 
Round 26: test_acc=0.363151117414, bytes=55.08880000 MB, time=2549.07678760s, delta_acc/byte=1.150985622736e-10, delta_acc/sec=0.000002487427,acc/byte=6.592104337256e-09, acc/sec=0.000142463781, 
Round 27: test_acc=0.367647861391, bytes=57.20760000 MB, time=2653.41530070s, delta_acc/byte=7.860396131056e-11, delta_acc/sec=0.000001694700,acc/byte=6.426556286076e-09, acc/sec=0.000138556471, 
Round 28: test_acc=0.369116158634, bytes=59.32640000 MB, time=2738.74238010s, delta_acc/byte=2.474947482265e-11, delta_acc/sec=0.000000536121,acc/byte=6.221785893539e-09, acc/sec=0.000134775787, 
Round 29: test_acc=0.378972587436, bytes=61.44520000 MB, time=2841.44135420s, delta_acc/byte=1.604100694930e-10, delta_acc/sec=0.000003468813,acc/byte=6.167651621875e-09, acc/sec=0.000133373362, 
